utterance,5W1H
"I reset the password, and the contacts came back. thanks.","[0, 0, 0, 0, 0, 0]"
"Hi SaraAndrijauskas   Glad that the issue has been resolved. If you need assistance, don't hesitate to post here in the Community and we'll do our best to assist you.    Cheers!   ","[0, 0, 0, 0, 0, 0]"
Original Title: MICROPHONE NOT WORKING Hi! I have built in microphone in Windows 8.1 in Inspiron 14R 5421 . It works on Skype but not working on Google Chrome.. How to solve this?,"[0, 0, 0, 0, 0, 0]"
"Hi Halim,  Please assist me with the following information related to this issue:   I would suggest you to check the issue on Sound Recorder app and check if you are able to record the sound. You may refer to the following link: Sound Recorder app for Windows: FAQ http://windows.microsoft.com/en-ca/windows-8/sound-recorder-app-faq  If you are able to record the sound using Sound Recorder app then the issue could be caused due to some in-correct settings on Google Chrome browser. You may contact Google Chrome support for further assistance on the issue. Refer to the following link: http://productforums.google.com/forum/#!forum/chrome  For additional information: https://support.google.com/chrome/answer/2693767?hl=en https://support.google.com/chrome/answer/1331723?hl=en    Please reply us on the status of the issue to assist you further.","[0, 0, 0, 0, 0, 0]"
I have Windows 10 not Windows 8.1. DO YOU WORK WITH WINDOWS !)? ,"[0, 0, 0, 0, 0, 0]"
"Good afternoon I have problems with word and power point, crashes or closes when I import images, and reinstall microsoft office 2011 for mac and the problem continues","[0, 0, 1, 0, 0, 0]"
"Hi Jhony,   Based on your description, when you import images to Word or PowerPoint 2011 for Mac, these applications crashes. I would like to suggest you check the following:   Besides, to better understand your situation and help you, please provide the information below:   Regards, Susan","[0, 0, 1, 0, 0, 0]"
"Hi Jhony,  Have you referred to my suggestions above?  Regards, Susan","[0, 0, 0, 0, 0, 0]"
"Hi, So I use the reveal formatting pane quite often while writing plans and reports.  Today while working on a report, I opened the pane, and it appeared on the right side of my draft.  I scrolled down to click on the ""SPACING"" link, and although my pointer changed from an arrow to a hand to indicate the link, nothing happened when I clicked.  I've opened multiple other documents to try to see if the function would work and it will not.  I've restarted and shut down my computer.  I can't seem to find anything on this issue online, so I'm not sure what to do next. Thanks in advance for any help","[1, 0, 1, 0, 0, 0]"
"I can confirm that this is problem exists in the latest updates of Word, version 1705 (build 8201.2102) or in version 1706 (build 8229.2073). I've reported this to the Word development team, and I would hope to see it fixed in an update relatively soon.  The best workaround at this time is to right-click in the text at the insertion point and choose the Font or Paragraph menu item to open the dialog. In a few places, such as text inside a table, the Paragraph item isn't on the menu, so you'll need to click the dialog launcher (the little arrow) in the bottom left corner of the Paragraph group on the Home tab.","[0, 0, 0, 0, 0, 0]"
"Alyssa, you wrote your reply on June 27, 2017 it is now September 29, 2017. Do you have any idea how may months is going to take to fix this problem?  I have gotten so use to the formatting panel that I am loss without it.    I can go back to using word perfect, but haven't had to use that project in years.  ","[0, 0, 0, 0, 0, 1]"
"Hello, I'm wondering if is posible to introduce a IF Formula, I have made a Table with some vacantions starting on different dates. Example Spain, 15.10.2017 Spain, 20.10.2017 Spain, 30,10.2017 Portugal, 25.11.2017 Portugal, 30.11.2017 and so on... i have many check-in dates. Is posible to introduce a IF Formular to see only further check-in dates? I don't really want to see Spain, 15.06.2017, only what remains to come. I guess i can put into a cell dunno... Ex. D2 cell, ""30.09.2017"" and into the entire collumn .. IF (D2 eallier then 30.09.2017, if yes, Hide, if no, show"" something like that. PS: Meanwhile i am thinking also a IF formula to see the next departures BETWEEN X date and Y date (ex: departures from 01.10  to 30.10.2017) Thank you in advance!","[1, 0, 0, 0, 0, 1]"
"First, formulas will not hide or unhide rows or columns.  You can apply a filter to the data and set up the criteria you want.  When a condition is applied to a filter, then the rows that don't meet that condition will be hidden.  -- Regards, Laura Ogilvy ","[0, 0, 0, 0, 0, 0]"
"Sound interesting enough, can you, please, give me some more details?","[0, 0, 0, 0, 0, 0]"
"Select your data, go to the home tab, go way to the right and select Sort & Filter in the editing area.   Then select filter.   this should put dropdowns in the top row of your data.    go to the column with date and choose number filters.  You can then specify your criteria.   You example shows Spain, 15.10.2017  I am assuming that this means Spain is in say A2 and 15.10.2017 is in B2.  Then the filter dropdown selected would be for column B.   You would select ""Date Filters"", then go to the bottom of the list and select custom.   You would get the dialog I show in the image.  There you would go to the left dropdown and select the condition, then enter the date in the right textbox.   Then click OK.   This will hide the rows that don't meet the condition.   You would to Sort & filter and select clear in the menu dropdown to clear the filter.   (or click filter to remove the dropdowns if you wish).     You can filter on multiple columns say if you wanted to look at just Portugal after 15.10.2017 as an example.  ","[0, 0, 0, 0, 0, 1]"
Thank you very much for your time and for your explanation!!,"[0, 0, 0, 0, 0, 0]"
How do I delete old conversations.,"[0, 0, 0, 0, 0, 0]"
"Hi Christina Rowland,  Deleting a conversation is not currently supported on Skype for Windows desktop, or Skype for Windows 10. However, deleting a specific message is possible. Please see the link below for more information:   https://support.skype.com/en/faq/FA34636/  Hope this information helps.  Thanks.","[0, 0, 0, 0, 0, 0]"
Yes thanks,"[0, 0, 0, 0, 0, 0]"
Feel free to post for any other concerns. We are glad of help.   Thanks.,"[0, 0, 0, 0, 0, 0]"
"Hello. I am using Skype to Broadcast a talk. Have multiple people call in to listen. Listeners have been asked to mute their microphones, but sometimes they forget and then we have all their sounds come across live. Most callers are using ipads. The talk is Broadcasted through Windows 10.   Randomly different callers have a reported seeing a popup that mutes speakers. Which seems to be what the main computer needs. But as i said this popup happens randomly. So my question is - Where do i access this 'mute speaker'? i hope i make sense.....","[1, 0, 0, 0, 0, 0]"
"Hi Lynn,   To narrow down the issue, may we know if you’re using your personal Skype or Skype for Business to broadcast a talk?   We look forward to your response.   Thank you!   Marites P   Skype Community Moderator","[0, 0, 0, 0, 0, 0]"
I am using personal Skype. Thank you,"[0, 0, 0, 0, 0, 0]"
"Hi Lynn,   Thank you for that confirmation.   First, make sure that all users must be using the latest version of Skype. The mute button should always be available whenever there is a call.   Also, just a heads up there is no central access for a user to mute all the Skype app of the participants.   Thank you!   Marites P   Skype Community Moderator  ","[0, 0, 1, 0, 0, 0]"
Where would i find this mute button? So it enables me to mute another listener? ,"[0, 0, 0, 0, 0, 0]"
"Hi Lynn,   Just to clarify, there is no central access for a moderator to mute all the Skype app of the participants.   Thank you!   Marites P   Skype Community Moderator    ","[0, 0, 0, 0, 0, 0]"
"Is it possible to install Windows 8.1 Pro on Surface RT Tablet installed Windows 8.1 RT. If, Yes. Please let me know it's process and steps. Thanks in advance. Thanks Amar","[0, 0, 0, 0, 0, 0]"
"of course it isn't. windows rt only exists because the surface rt has a mobile phone-like processor (ARM architecture). regular windows CANNOT run on ARM processors, it has to run on X86 processors. it's not just a commercial gimmick.","[0, 0, 0, 0, 0, 0]"
"Well hello! Some of us need talking through these things, ya know??!  You are talking double dutch to me and I can safely say, millions of others.  I too would like to know if I can change the operating system on my Surface 2 from RT 8.1 because it isn't compatible with my work system.  Your arrogant reply is not helpful.","[0, 0, 0, 0, 0, 0]"
" its not arrogant, I'm sorry if you cant understand it. The answer is NO. Maybe you can understand ""NO"".","[0, 0, 0, 0, 0, 0]"
"under the rt operating system it says X86 device not ARM, even still if windows is in some kind of emulator it would be nice if there was a way to put a Linux distro on there or something like that and even still .exe programs would be able to run but Microsoft disabled the ability to run executables that aren't already on the device :/","[0, 0, 0, 0, 0, 0]"
 Then it isn't a Windows RT operating system.,"[0, 0, 0, 0, 0, 0]"
"Though EDGE has been cleanly reinstalled, when it is run this error routinely pops up in the Event Viewer... SFC result is clean.  Similar errors have been seen in the past, but this one seems more persistent than most.  Faulting application name: MicrosoftEdgeCP.exe, version: 11.0.15063.608, time stamp: 0x59ae240c Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000 Exception code: 0xc0000604 Fault offset: 0x0000000000000000 Faulting process id: 0x9b4 Faulting application start time: 0x01d32cac475fa464 Faulting application path: C:WindowsSystemAppsMicrosoft.MicrosoftEdge_8wekyb3d8bbweMicrosoftEdgeCP.exe Faulting module path: unknown Report Id: 87368851-9172-4759-9d33-6b0154ced76e Faulting package full name: Microsoft.MicrosoftEdge_40.15063.0.0_neutral__8wekyb3d8bbwe Faulting package-relative application ID: ContentProcess  Why? [Moved from:  Windows / Windows 10 / Performance & system failures / PC ]","[0, 0, 1, 0, 0, 0]"
"Hello, We have an emerging issue in Microsoft Edge and we're currently working to permanently resolve it. For now, we'd like to share a workaround about recovering the said application. You can refer to the steps shared by Tiero Chi on this thread. Keep us informed about the status of the issue.","[0, 0, 0, 0, 0, 0]"
"On two PCs, this is what was seen after the .608 update on approximately 9/17/17...  At first, only the EDGE interface appeared, complete with favorites tabs. No START page, and no content could be fetched.  Performed a reset - SETTINGS|CLEAR HISTORY|SHOW ALL and checking all boxes except for PASSWORDS and FORMS - and the browser closed.  At the next EDGE restart its Start page appeared but links were UNclickable.  Starting EDGE once again, links became clickable, but were sluggish. Event viewer showed that there had been multiple errors.  On subsequent starts EDGE was normal but for an occasional Event Viewer error, as described above.","[1, 0, 0, 0, 0, 1]"
"Hi,   Resetting Microsoft Edge through PowerShell to correct the misbehavior of the program. Before you reset Microsoft Edge through PowerShell, we strongly recommend that you perform a full backup and/or create a system restore point first. The steps in resetting Microsoft Edge through PowerShell are as follows.  Step 1 Navigate on the following folder (Replace %username with your own username.) and clear everything inside it:  C:Users\%usernameAppDataLocalPackagesMicrosoft.MicrosoftEdge_8wekyb3d8bbwe  Step 2 Right-click on the Start menu and choose “Windows PowerShell (Admin)”. Copy and paste the following code inside PowerShell and press Enter:  Get-AppXPackage -AllUsers -Name Microsoft.MicrosoftEdge | Foreach {Add-AppxPackage -DisableDevelopmentMode -Register “$($_.InstallLocation)AppXManifest.xml” -Verbose}  When you open Microsoft Edge next time, you will see that it has been reset to default. If you encounter any error, type the following command to get the first few logged events:  Get-Appxlog | Out-GridView  Note the error code in the log and proceed here.  Check if the issue persists.   Regards.","[0, 0, 0, 0, 0, 0]"
"As noted initially, the delete/reinstall procedure was done - several times.  (Deletion of the folder or contents has required dropping to Safe Mode.)  The Event Viewer error that persists, sporadically, as pasted into the first post was not seen in earlier builds, though other EDGE-related errors did occasionally appear.  ","[0, 0, 0, 0, 0, 0]"
"Let us try to separate the issue between your current account and the PC. For case isolation, kindly create a new user account. To create a new user account, kindly follow the steps below and check if the issue persists.    Your response will be highly appreciated.   ","[0, 0, 0, 0, 0, 0]"
A post on this topic on the answers.microsoft.com forum hints that an update has remedied the issue.,"[0, 0, 0, 0, 0, 0]"
"After updating to 632, still occasionally seeing this error.  Note that it refers to the earlier 608 build.  Faulting application name: MicrosoftEdgeCP.exe, version: 11.0.15063.608, time stamp: 0x59ae240c Faulting module name: edgehtml.dll, version: 11.0.15063.608, time stamp: 0x5ff6c763 Exception code: 0xc0000005 Fault offset: 0x00000000003ebf32 Faulting process id: 0x1a68 Faulting application start time: 0x01d33a4f2b0aea05 Faulting application path: C:WindowsSystemAppsMicrosoft.MicrosoftEdge_8wekyb3d8bbweMicrosoftEdgeCP.exe Faulting module path: C:WINDOWSSYSTEM32edgehtml.dll Report Id: 086abfa0-4b8b-44fe-be0a-2266a5c7abaa Faulting package full name: Microsoft.MicrosoftEdge_40.15063.0.0_neutral__8wekyb3d8bbwe Faulting package-relative application ID: ContentProcess","[0, 0, 0, 0, 0, 0]"
"Hi,  The error 0xc0000005 might occur due to a misconfigured system files in your Windows operating system. For this case, we suggest that you run the troubleshooter for Windows apps. To do this, follow the steps in this link.  We would appreciate it if you could get back to us and provide us your feedback.","[0, 0, 0, 0, 0, 0]"
"Everything on my computer is working fine; however, when I use Skype, I can’t hear the caller and the Echo/Sound Test doesn’t work. I uninstalled and reinstalled, I ran the MS app test and it fixed the store cache. Is there anything else that I can try? Thank you! David OS Name: Microsoft Windows 10 Home Version: 1703 15063.608 System Manufacturer: Dell Inc.; System Model: XPS 8300- 0Y2MRG System Type: x64-based PC Processor: Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, 3401 Mhz, 4 Core(s), 8 – Logical BIOS Version/Date:            Dell Inc. A06, 10/17/2011 Installed Physical Memory (RAM): 12.0 GB -Total Virtual Memory: 24.0 GB HDD: Seagate -Barracuda Hard Drive –Model: ST31000524AS -SATA 6Gb/s -1TB -7200 (1/3 full) Display: AMD Radeon 6700 Series –PCI Express 2.0 –Memory: 10245 MB TV: Hauppauge WinTV HVR-1250 (Model 79xxx, Hybrid ATSC/QAM) Power: 460w","[0, 0, 1, 0, 0, 1]"
"Hi Angelica,   Are you using Skype for Window 10 (UWP) or Skype for Desktop? I suggest you try this instructions below for the meantime and check on the issue again.   1. Check on the audio settings on the Skype application and make sure that the audio device you’re using is listed and working properly. 2. Check on the sound setting if there are volumes that’s on muted or on low volume. 3. Make sure that the software drivers on your device and the audio device you’re using is updated. 4. You may also use Auto diagnose and fix audio issues on your device using this link: http://support.microsoft.com/mats/skype/   I look forward to your reply.   Thanks.","[0, 0, 0, 0, 0, 0]"
I’m embarrassed! The problem was that the speakers were plugged into the wrong jack.  Thank you for your help.  David_918,"[0, 0, 0, 0, 0, 0]"
I am glad that your concern was resolved. Feel free to post for any other concerns.   We are glad of help. Thanks.,"[0, 0, 0, 0, 0, 0]"
"Hi, I'm running windows 8.1 pro w/media center edition, this morning I download an ISO file from Microsoft, now I need to burn the iso image file to a dvd. The problem is..when I right click on the iso image file, I'm not given any option to burn the file using the 'supposedly' built in software that's supposed to be included in windows 8.1. Is there any way to download that file & reinstall the disc image burner again ? Thanks, David ","[0, 0, 1, 0, 0, 0]"
"Hello David,  Thank you for providing us with the detailed description about the issue.  I certainly understand the inconvenience caused to you. I will try to help you in fixing the issue.  There is a possibility that this issue might have occurred either due to some “hardware or software” that have gone bad in the system or “system files” might have gone corrupt.  In order to understand the issue more clearly, I would request you to kindly provide me with the following information.  I would suggest you to follow the steps given below and check if it helps.  Step 1:  Please refer to the suggestions provided by “Manuel Souto Pico” replied on February 29, 2012 in the Microsoft Community link  http://answers.microsoft.com/en-us/windows/forum/windows_7-windows_programs/windows-disk-image-burner-has-disappeared-from/acbefb19-84d9-46c1-87a6-bd893b44f306  Note: The steps in the above mentioned link also hold good for Windows 8.1  If the issue still persists, follow step 2  Step 2:  I would suggest you to try using a different DVD and check if it fixes the issue.  I hope this information is helpful.  Please do let us know if you need further assistance, we’ll be glad to assist you.  Thank you.  ","[0, 0, 0, 0, 0, 0]"
"Hi, Thanks for your reply..I found the problem that was causing my issue, there wasn't any program associated with the .iso file type. I fixed it via the registry, now when I click on the .iso image file I want to burn to a dvd, I'm offered to use windows disc image burner once again. David ","[0, 0, 1, 0, 0, 0]"
"Hello David,  Thank you for keeping us posted.  Glad to know that you were able to find the resolution for your issue.  I appreciate your efforts towards resolving the issue.  Thank you for sharing the resolution with us as this would help other Community members facing similar issues.  Please feel free to reply, in case you face any other issues with Windows in future.","[0, 0, 0, 0, 0, 0]"
What did you change in the registry?,"[0, 0, 0, 0, 0, 0]"
"How do I disable the typing indicator in skype. I cannot locate a ""Tools"" tab and no other option gives me this aspect to change","[0, 0, 0, 0, 0, 0]"
"The new Microsoft Skype for Windows 10 (Skype UWP) application does not have the Tools menu.   https://support.skype.com/en/faq/FA34664/finding-your-way-around-skype-for-windows-10?platform=uwp   All available settings and options are accessible from your Profile window, which you can open by pressing the Profile icon.   However, the option to disable typing indicator is not available in Skype UWP application.   If you want to have all the known options and settings available in Skype, then you can install and use the classic Skype for Windows Desktop application. This Skype application can be installed using this installer link:   http://www.skype.com/go/getskype-full  ","[0, 0, 0, 0, 0, 0]"
"Hi,  I'm Terri, one of the developers on Skype for Windows 10. As Ruwin.B says, we don't have that feature yet, but we could consider it for the future.  To help me build a case for this feature, would you please clafiry whether you need to disable the typing indicator that you see when others type, or the typing indicator that others see when you type? And what is it that makes you want to disable it?  Thanks, JesperTerri","[1, 0, 1, 0, 0, 0]"
"Both Jasper. I need to be able to turn off both typing indicators, the one I see when others type as well as the typing indicator that others see when I type.","[0, 0, 1, 0, 0, 0]"
Thank You!,"[0, 0, 0, 0, 0, 0]"
"And what is it that makes you want to disable it? If we understand why, it'll be easier to prioritize the idea among the other things we have on the ToDo list.","[1, 0, 0, 1, 0, 0]"
I had a very important meeting and a potential client. He was upset and distracted by the typing. He ended the meeting instantly when I couldn't turn it off. Why would a developer not allow this function to be easily switched on and off is beyond me. Maybe a little more work and less socializing? I can only hope this gentleman will agree to another meeting otherwise I lost out on the most important business deal of my life. It was going to make or break me and I fear it has broken me thanks to the developers absent mindedness.,"[0, 0, 1, 0, 0, 0]"
"Thanks for giving the background on this. I added this to the work item we have, and we'll review it to see how and when we can best implement this.  Thanks, Terri","[0, 0, 1, 0, 0, 1]"
Whenever I enter username and password and clicksign in  Message pops up Unable to Sign in . How to resolve the issue! Pls help Asap!! Thanks in Advance,"[0, 0, 0, 0, 0, 0]"
"This has happened to me as well, I was able to sign into my account before I changed my password but when I changed my password I am not able to sign into my account. I am trying to look around for a fix.","[0, 0, 1, 0, 0, 0]"
"Same problem ...  I reset the password (to this, my wife's account), even though the password had been correct in the first place. Unable to sign in (from two different Android systems) with either the old or the new password; however, can sign in the Skype web, so obviously the userid and password are correct.  Can use Skype from my other Android systems and my laptop using the same WiFi router, so obviously the connectivity is OK.  I assume it is either a Skype software bug, or else something munged in my wife's account (which would also be a Skype software bug).","[0, 0, 0, 0, 0, 1]"
"Appears to be a Skype application software bug. From my wife's Android phone and tablet, I am unable to log onto either her Skype ID or mine, even though Internet connectivity is fine; however, my Skype ID works correctly both from Windows 7 and from my own Android system.","[0, 0, 0, 0, 0, 1]"
"Re-installed/updated Skype, now it works.","[0, 0, 0, 0, 0, 0]"
"Hello Anthony10,  Welcome to Skype Community!  To help you with this issue, can you provide me the exact version of Android and Skype application that you're using?  You may try to uninstall and re-install Skype and use a different internet connection, let me know if you're still getting the same error message.  @Vera-MariaMarcusAmanda  thank you for sharing that information. We highly appreciate it.  We'll look forward to your reply.","[0, 0, 0, 0, 0, 0]"
I got resolved byitself and I believe it is bug with skype android app.,"[0, 0, 0, 0, 0, 0]"
"Hello Anthony10,  Thank you for the response!  I am glad that the issue has been resolved now, that might be a minor technical delay in Skype for Android and you can assure that this will teach us a lesson and better improve Skype features and services.    Thank you for raising this concern to us, we highly appreciate it.  If you have any concerns or questions, please do not hesitate to post it on Community. We would be more than glad to assist you.","[0, 0, 0, 0, 0, 0]"
"Problem was introduced with latest update from Microsoft. Current version: 15.37 (170815) I have a PPT template with custom bullet items (selected from symbol/wingdings). This PPT template has been in use for months, never had an issue. Since latest MS update there are squares showing up between the bullet symbol and the bullet text: This issue is occurring in every PPT we've created using this template. Suggestions on how to resolve would be appreciated.","[0, 0, 0, 0, 0, 1]"
"Hi Daniel,   Based on my test, I still can use Symbol font on PowerPoint for Mac. To narrow down the issue, could you please provide the following information? 1. Confirm if you still can use symbol fonts on PowerPoint. 2. The OS version. 3. The affected file. To protect your privacy, I've sent you a private message to collect the information. You can access it via private message。   Thanks, QingBarbara","[0, 0, 0, 0, 0, 0]"
"I suggest starting off with easy troubleshooting steps. First, please restart your Mac. Did the problem go away?","[0, 0, 0, 0, 0, 0]"
"Hi Daniel,  Did the issue still exist? Do you need further help?  Thanks, QingBarbara","[0, 0, 0, 0, 0, 0]"
"Hi I use Skype on Macbook pro. I travel a lot, Skype works well outside of Egypt, but when I'm back in Egypt and try to sign in, I get a message saying Unfortunately, Skype is not available right now. I uninstalled Skype and installed it again, but I'm still not able to sign in.","[0, 0, 1, 0, 0, 0]"
"Hi Brooke,   First, we would like to clarify you are unable to sign in to your account using your Mac device? If so, for us to isolate the case and to further assist you, may we know if you are able to sign in to your account using other devices and using the Skype web browser? Also, when you tried to sign in to your account, do you get any error message?   We look forward to your response   Marites P.   Skype Community Moderator","[0, 0, 1, 0, 0, 0]"
"I use skype on mac  im unable to sign in when im in Cairo,Egypt only.   skype works well when i travel to Europe.  Im able to sign in my account using safari browser but im unable to make a video call, didnt try to sign in using other devices only used it on mac.  i get an error message saying Unfortunately, Skype is not available right now.        ","[0, 0, 1, 0, 0, 0]"
"Hi Brooke,   Thank you for that information.   With that, I will be sending you a message for us to further assist you with your sign in issue. Kindly check your email for the details. You can check it here: Inbox   Marites P.   Skype Community Moderator  ","[0, 0, 0, 0, 0, 0]"
"Dear Skype team,  Am using india 800 mins mobiles and landline option , but when Iam callingto mobiles Iam not getting any voice, kindly check . I am loosing my credit minutes with out talking.  Please find below details  Skype Name: ************ (Skype name redacted due to privacy and security purposes.) Product name: India 800 mins mobiles and landlines - 1 month Total amount: $7.99 Transaction date: Jul 26, 2017 Order number: 8080000003771420457 Kindly do the needfull. Regards Bala Please note: Do not post Personal Information in the Microsoft Community because this is a Public Forum.","[0, 0, 1, 0, 0, 0]"
"Hello Virginia,  To further investigate, may I know from which country are you located? Is the issue happening with a specific contact only? Have you tried calling on a different device?  Please do not hesitate to reply to this post if the issue still persists. Thank you!   Julie_S1Catherine Skype Community Moderator","[0, 0, 0, 0, 0, 0]"
"Hi Julie , Am located in UAE , yes I tried different contacts  all contacts are same problem  , I tried different calls facing same problem  call is connecting but I dididn't recive any voice ,almost I lossed 200 minutes with out proper voice  & am losing my talktime . Kindly do the neesfull. Regards  Bala ","[0, 0, 0, 0, 0, 0]"
"Hello Virginia,  We understand how this is important for you to be resolved. There is a possibility the issue is due to Skype being blocked in the United Arab Emirates (UAE). Please refer to this FAQ for more information.  If you have further questions, please do not hesitate to reply to this post. Thank you! Julie_S1Catherine Skype Community Moderator ","[0, 0, 0, 0, 0, 1]"
"Dear Julie,   In UAE Skype calls is working , once recharge done starting time  i used some talk time in skype credit , after that calls is  connecting but their is no  proper voice , total 164 minutes used ,kindly issue my problem as soon as possible otherwise i will loss my talk time , subscription expires date also 26-08-2017 only.  Please solve issue immediately.  Regards Bala","[0, 0, 0, 0, 0, 0]"
"Hello Virginia,  I sent you a private message to better assist you with your concern. Please check your messages. Thank you!   Julie_S1Catherine Skype Community Moderator","[0, 0, 0, 0, 0, 0]"
"Dear Julie,   Please consider my request , i didn 't  recived any private message kindly solve my issue as early as possible, other wise i will loss my due date, valid till 26 th only this month otherwise kindly reverse my credit amount.  Regards Bala","[0, 0, 0, 0, 0, 0]"
Hi The standard procedure for changing language is to go to the menu -> tools -> change language : https://support.skype.com/en/faq/FA73/how-do-i-change-the-language-used-by-skype-for-windows-desktop The problem is that there is no menu (at the top left of the window) at all in my Win10 Skype App -> therefore I cannot make any changes. Settings do not offer any option for changing language neither. I am based in the UK - but would like to operate different language than default English. Help will be very appreciated. Regards Lech,"[0, 0, 0, 0, 0, 1]"
"Hello David,  Welcome to Skype Community!  Skype for Windows 10 follows the language set as default in your operating system's Language Preferences, which may differ from the Windows display language. Go to this support page for the steps on how you can adjust the language on your device: Click here.  I hope this answers your query.  Regards,","[0, 0, 0, 0, 0, 1]"
Skype has a black screen and is all in French. My computer settings are in English. All other programs display in English. How do I change Skype back to English? Where is the menu bar for Skype?,"[0, 0, 0, 0, 0, 0]"
"Hello Judith,  It looks like you're using the classic Skype for Windows desktop version. To change the language on the application, please refer to the steps provided on this support page: Click here.  Should you have further questions, please let me know by responding to this thread.  Regards,","[0, 0, 0, 0, 0, 0]"
"In my organization, we have a Word document that has a editable table.  It has become uneditable, and the only way to fix it would be to uninstall Office and then reinstall it.  I've tried both 32-bit and 64-bit versions of Office and that will fix it, but the issue keeps coming back. It's the same issue as this one right here, https://answers.microsoft.com/en-us/msoffice/forum/msoffice_word-mso_win10/word-not-displaying-table-data-with-merged-cells/88d25b43-8441-4b64-9bcf-4d75b27a30f9?auth=1.  What do I do now?  I have a click-to-run version of Office installed on my laptop and do not have this issue, as of yet anyways.","[0, 0, 0, 0, 0, 0]"
"Hi,  There are different possible reasons as to they the merged tables in your Word 2016 documents are no longer allowing access to edit the data in the tables. One possible reason for this to happen could be related to a recent update that was installed. For us to resolve your concern, kindly answer the questions below:   We look forward to your response to our queries.","[0, 0, 0, 0, 0, 0]"
I was actually able to resolve the issue by uninstalling KB4011039.  We then blocked it from our network using SCCM.,"[0, 0, 0, 0, 0, 0]"
"I'm trying to remove sources that are checked in the ""current list"" from word. The delete key is greyed out. What can I do to get rid of the ones that are checked that I don't want?","[0, 0, 0, 0, 0, 0]"
"If you have already cited the source in the document then the Delete option will be greyed out. First delete all the citation from the document and then try to delete from the Source Manager. To delete the reference in the document, select the citation from the document and click on Delete Once you have deleted all the citations from the document click on References< Manage Sources< highlight the citation from the current list and click Delete.","[0, 0, 0, 0, 0, 0]"
"Brittany, Thank you very much for the response.","[0, 0, 0, 0, 0, 0]"
"Just wanted to say thanks. It helped me realize I hadn't deleted all the references within the document; once I did that, the delete option was no longer grayed out.","[0, 0, 0, 0, 0, 0]"
"Hey, for anyone having the same trouble, I figured out that even when you do as D'Souza says, most of the times it will work, but if you changed the ""Tag name"" ( on the bottom left corner while you are editing the source) to a particular tag name you created, so you gotta delete the tag name, click on OK so Word will generate a random tag name.. and that's all!, you will be able to finally delete the source ;) .  PD: English is not my first language ","[0, 0, 1, 0, 0, 0]"
I wish to save a backup copy of XL files (to the same folder on C drive as the base file) when I do an update thereto and save the file. I am not referring to Autosave. ,"[0, 0, 1, 0, 0, 0]"
"When you say not referring to Autosave"" I am not sure if you mean the Auto Recover or AutoBackup. There is a description of AutoBackup at the following link. (Go down towards the end of the page under heading ""AutoBackup"")    https://www.online-tech-tips.com/ms-office-tips/excel-autorecover-and-automatic-backup/  However, the above method overwrites the previous backups and if this is not what you require and you want to keep several versions of backups then you will need to change the document to a Macro Enabled Workbook and use the Save Event VBA code below.   To install the VBA Event code:  Now when the workbook is saved, if changes have been made since opening,  then a backup file will be created in the same folder as the master. If no changes then the file will save as normal but no backup will be created. The backup File Name is in the format  Filename yyyy-mm-dd hh mm ss.xlsm The reverse date with year first is used so the file names can be sorted. All 2 digit months, days, hours, minutes and seconds are used because sorting is based on text and this ensures that sorting occurs correctly.  If the User selects ""Save As"" then the backup code is not implemented and allows the user to create a file name of choice. ie the user might select a backup version and the use Save As to replace the master copy.  Feel free to get back to me if any problems.   Copy all of the code below into the VBA editor.   Private Sub Workbook_BeforeSave(ByVal SaveAsUI As Boolean, Cancel As Boolean)         Dim strBackupName As String         'If user selects ""Save As"" then the code for backup does not run so that user     'can select a backup and then save to whatever name is required     If SaveAsUI = False Then         'Only run backup code if change made. Otherwise Save simply saves without backup         If ActiveWorkbook.Saved = False Then             On Error GoTo ReEnableEvents                         Application.EnableEvents = False    'Suppress recursive calls to Save event                         ThisWorkbook.Save       'Save normally                         'Create backup filename using date and time             'Colons invalid in file name and hense colons replaced with spaces in time portion             strBackupName = Left(ThisWorkbook.FullName, InStrRev(ThisWorkbook.FullName, "".xlsm"") - 1) _                             & "" "" & Format(Now, ""yyyy-mm-dd hh mm ss"") _                             & "".xlsm""                         ThisWorkbook.SaveCopyAs Filename:=strBackupName         End If     End If     ReEnableEvents:     If Err.Number <> 0 Then         MsgBox ""Error occurred in ThisWorkbook module, Private Sub Workbook_BeforeSave""     End If         Application.EnableEvents = True End Sub   ","[1, 0, 1, 0, 0, 0]"
"Thanks MicheleMac, I meant""... not referring to AutoRecover"" when I said ""... Autosave"".  AutoBackup was exactly what I was looking for.  The detailed VBA info you provided is much appreciated also - very worthwhile. ","[1, 0, 1, 0, 0, 0]"
"I use iOS on an Iphone 6s and have received no calls since updating my mobile version of skype. The main problem is that I no longer receive notification for calls to my skype number on my device, even when my statuses (both PC and mobile) are shown as online.  I used to set myself to Do Not Disturb and would still receive calls, now I do not receive any calls to my skype number via mobile. I occasionally get rings for peer-2-peer calling via skype, but usually these are marked as missed calls and go straight to a voice mail or hangs up.  The skype app on mobile does not send alerts for calls unless the app is open. I have made sure that I have my status as online on both my phone and PC -- these issues WERE NOT present prior to updating this sodding POS.  Really disappointed and would like a fix for it soon.","[0, 0, 1, 0, 0, 1]"
